Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
;;;;;;;Playing Time;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Expected;Expected;Expected;Expected;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;;-additional
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;xG;npxG;xAG;npxG+xAG;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;-9999
74;Nathaniel Chalobah;eng ENG;MF;Fulham;27-318;1994;3;1;11;0.1;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.77;0.00;0.77;0.77;0.77;Matches;422862ea
75;Trevoh Chalobah;eng ENG;DF;Chelsea;23-113;1999;5;5;450;5.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.0;0.3;0.07;0.00;0.07;0.07;0.07;Matches;5515376c
76;Calum Chambers;eng ENG;DF;Aston Villa;27-279;1995;3;1;101;1.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;dc6f5bdd
77;Ben Chilwell;eng ENG;DFMF;Chelsea;25-309;1996;8;4;392;4.4;1;1;1;0;0;1;0;0.23;0.23;0.46;0.23;0.46;0.3;0.3;0.1;0.4;0.06;0.03;0.10;0.06;0.10;Matches;d2424d1b
78;Ryan Christie;sct SCO;MF;Bournemouth;27-246;1995;12;9;707;7.9;1;0;1;0;0;1;0;0.13;0.00;0.13;0.13;0.13;1.1;1.1;0.3;1.4;0.14;0.04;0.18;0.14;0.18;Matches;26ce2263
79;Carney Chukwuemeka;eng ENG;MF;Chelsea;19-006;2003;3;0;46;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.17;0.05;0.22;0.17;0.22;Matches;b2f9c73e
80;Bobby Clark;eng ENG;MF;Liverpool;17-261;2005;1;0;8;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;73341ace
81;Nathaniel Clyne;eng ENG;DF;Crystal Palace;31-204;1991;6;5;413;4.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.03;0.03;0.00;0.03;Matches;0442183b
82;Conor Coady;eng ENG;DF;Everton;29-243;1993;11;11;980;10.9;1;1;1;0;0;1;0;0.09;0.09;0.18;0.09;0.18;0.6;0.6;0.2;0.8;0.05;0.02;0.07;0.05;0.07;Matches;2928dca2
83;Jack Colback;eng ENG;MF;Nott'ham Forest;33-002;1989;3;1;127;1.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.2;0.00;0.11;0.11;0.00;0.11;Matches;963a9201
84;Séamus Coleman;ie IRL;DF;Everton;34-015;1988;5;5;410;4.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.4;0.03;0.05;0.08;0.03;0.08;Matches;0420d84f
85;Nathan Collins;ie IRL;DF;Wolves;21-179;2001;9;9;752;8.4;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.01;0.01;0.00;0.01;Matches;a8c19eb8
86;Levi Colwill;eng ENG;DFMF;Brighton;19-242;2003;2;0;13;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;700783e7
87;Lewis Cook;eng ENG;MF;Bournemouth;25-265;1997;12;10;923;10.3;0;1;0;0;0;0;0;0.00;0.10;0.10;0.00;0.10;0.1;0.1;1.1;1.2;0.01;0.11;0.12;0.01;0.12;Matches;2afc7272
88;Steve Cook;eng ENG;DF;Nott'ham Forest;31-190;1991;10;9;778;8.6;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.6;0.6;0.00;0.07;0.07;0.00;0.07;Matches;3e5e4e63
89;Liam Cooper;sct SCO;DF;Leeds United;31-057;1991;5;4;405;4.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.4;0.6;0.04;0.10;0.14;0.04;0.14;Matches;dc64b8b3
90;Maxwel Cornet;ci CIV;MFFW;West Ham;26-029;1996;5;1;91;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.0;0.5;0.53;0.00;0.53;0.53;0.53;Matches;beb391dd
91;Diego Costa;es ESP;FW;Wolves;34-019;1988;5;4;323;3.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1.1;1.1;0.1;1.2;0.31;0.03;0.34;0.31;0.34;Matches;a190d597
92;Vladimír Coufal;cz CZE;DFMF;West Ham;30-065;1992;9;7;685;7.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.6;0.7;0.01;0.08;0.10;0.01;0.10;Matches;fdf3cb77
93;Philippe Coutinho;br BRA;MFFW;Aston Villa;30-136;1992;11;6;541;6.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1.0;1.0;0.3;1.3;0.16;0.05;0.21;0.16;0.21;Matches;0ef89a37
94;Conor Coventry;ie IRL;MFFW;West Ham;22-215;2000;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;a5ca9127
